gene_symbol,Ivd
mouse_life_stage,Early adult
analysis_id,70vlyj6mc4dx4uk
parameter_id,MGP_IMM_121_001
gene_accession_id,MGI:1929242
parameter_name,Macrophages - % of CD45+
pvalue,0.26291
mouse_strain,C57BL
