parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Late adult
pvalue,0.05001593
gene_symbol,AU040320
gene_accession_id,MGI:2140475
analysis_id,iksj68l5xb7m769
mouse_strain,C57BL
