parameter_name,Cholesterol ratio
analysis_id,55t484idy3qe7w8
pvalue,0.3308266
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
gene_symbol,Bcs1l
