parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
pvalue,0.6117188
mouse_life_stage,Early adult
analysis_id,9v8m3v87v3zelsh
mouse_strain,C57BL
gene_symbol,Opn3
gene_accession_id,MGI:1338022
