parameter_name,Narrow eye opening
analysis_id,m3c2p57b3e91655
gene_accession_id,MGI:2385884
pvalue,0.1453891
gene_symbol,Ddx27
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
mouse_strain,129SV
