gene_symbol,Lrrc69
mouse_strain,C53BL
gene_accession_id,MGI:1920564
analysis_id,0z9pr44a060zjys
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
pvalue,0.2721841
parameter_name,Lens Opacity
