analysis_id,n4v39470958k56w
parameter_name,Eye
parameter_id,M-G-P_014_001_001
pvalue,0.3437682
gene_accession_id,MGI:99605
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cntfr
