analysis_id,f8z4nzi96q0dk50
gene_accession_id,MGI:1917810
pvalue,0.1069944
mouse_life_stage,E9.5
parameter_id,MGP_MLN_072_001
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Wars2
mouse_strain,C57BL
