parameter_name,Dark side time spent
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.5415665
parameter_id,JAX_LDT_004_001
analysis_id,ucj9xx4vo35127o
mouse_strain,C57BL
