analysis_id,87o3s65m3ik68iz
pvalue,0.88144
gene_symbol,Hnf4a
mouse_life_stage,Late adult
parameter_name,ST
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:109128
