gene_symbol,Cldn19
mouse_strain,C58BL
mouse_life_stage,Early adult
pvalue,0.1157807
gene_accession_id,MGI:3033992
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
analysis_id,dzvsd937777691h
