parameter_name,Monocytes
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
analysis_id,84k6n8oi8r9e7d3
pvalue,0.09940013
gene_accession_id,MGI:2442483
gene_symbol,Usp37
