parameter_name,HR
analysis_id,y9566382zg1lsh4
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:1920638
pvalue,0.1650342
