analysis_id,x8vlbszfgiuzcl1
mouse_strain,C57BL
gene_symbol,Nanp
parameter_id,IMPC_HEM_036_001
pvalue,0.193666
parameter_name,Eosinophil cell count
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
