analysis_id,9ms98zzvz2b8ta8
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.5635271
mouse_strain,C57BL
gene_symbol,Ppm1j
