gene_symbol,Dnajc5b
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
analysis_id,5188x9357it8007
parameter_id,JAXLA_DXA_009_001
parameter_name,Fat/Body weight
pvalue,0.937881
