analysis_id,pszrz263i251j5k
gene_symbol,Ap5s1
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1916846
pvalue,0.2358418
