parameter_name,Placenta Size
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,76v61762v45w84e
gene_symbol,Ubxn11
pvalue,0.2711735
gene_accession_id,MGI:1914836
parameter_id,IMPC_GPP_004_001
