gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_id,IMPC_CBC_005_001
analysis_id,96h4gz2381u1qq2
mouse_life_stage,Early adult
pvalue,0.994655
parameter_name,Creatinine
mouse_strain,C57BL
