parameter_id,IMPC_HEM_037_001
analysis_id,522522th15wc518
pvalue,0.7282657
parameter_name,Basophil cell count
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
