analysis_id,o5r19102781klf8
parameter_id,MGP_IMM_089_001
gene_symbol,Hnf4a
gene_accession_id,MGI:109128
pvalue,0.4834519
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,C57BL
Mouse_life_stage,Late adult
