analysis_id,23o643tv675ipja
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.8199447
parameter_name,Ventral coat/hair presence
