analysis_id,qye30h7p684824e
mouse_strain,C57BL
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_name,Limb grasping
mouse_life_stage,Early adult
pvalue,0.2309568
parameter_id,ESLIM_008_001_017
