analysis_id,xiy7f7f97589i2u
mouse_life_stage,Early adult
pvalue,0.2326177
parameter_id,IMPC_GEP_076_001
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,Cleft palate
gene_accession_id,MGI:2444554
