analysis_id,02en583c53ym709
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
pvalue,0.07839865
parameter_id,MGP_MLN_076_001
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
