parameter_name,lens opacity
pvalue,0.6056923
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1914071
analysis_id,0p14r8g3g6lc15s
