parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
pvalue,0.1677535
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Breath rate during sleep standard deviation
analysis_id,mm3s61r4l7s0123
mouse_life_stage,E15.5
