parameter_name,Femur
analysis_id,jpiu8341833t6z8
mouse_strain,C57BL
pvalue,0.1273034
parameter_id,IMPC_XRY_024_001
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
