analysis_id,a8sjo4w5f5z1if1
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
mouse_strain,C57BL
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
pvalue,0.8689926
