analysis_id,jzeh19d376lr8y7
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1921493
parameter_name,% Pre-pulse inhibition - PPI4
mouse_life_stage,Early adult
pvalue,0.9945998
mouse_strain,C57BL
gene_symbol,Slx4ip
