parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:2444554
mouse_strain,C57BL
analysis_id,73cu700fy53w1qi
pvalue,0.2895141
gene_symbol,Mapkap1
mouse_life_stage,E12.5
