analysis_id,1xyz82t639e609o
gene_symbol,Alkbh3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
pvalue,0.7017821
parameter_id,JAXLA_CSD_041_002
parameter_name,Hindpaw - size
