parameter_name,Limb morphology
mouse_life_stage,Early adult
analysis_id,k39q0o6sn8dif3v
mouse_strain,C57BL
gene_accession_id,MGI:104805
pvalue,0.3255193
parameter_id,IMPC_GEP_084_001
gene_symbol,Snrpb2
