analysis_id,41ko0a8458fkoj8
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_name,Skull shape
pvalue,0.07767087
