analysis_id,el53du6so6n9sim
gene_accession_id,MGI:2444113
pvalue,0.4637288
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
mouse_strain,C57BL
gene_symbol,Nemp2
parameter_name,Contact righting
