parameter_name,Whole arena resting time
mouse_life_stage,Early adult
pvalue,0.3379019
gene_accession_id,MGI:3046938
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
gene_symbol,Hrnr
analysis_id,v4yrw9b87x337ml
