gene_symbol,AU040320
pvalue,0.1347031
parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:2140475
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,r4p72f24op56rb2
