analysis_id,e7t62oqitnr8xr9
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
mouse_strain,C57BL
pvalue,0.1495904
parameter_id,IMPC_XRY_033_001
gene_symbol,Mecom
parameter_name,Tibia length
