analysis_id,3c952j3s81y5c0c
parameter_name,Caudal processes
pvalue,0.9620135
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
