parameter_name,Red blood cell count
pvalue,0.4318803
analysis_id,p4m698gv47655r0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_id,ESLIM_016_001_002
