analysis_id,3737bhy075t12lf
pvalue,0.8373837
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
