analysis_id,04b4069780f933f
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
gene_symbol,Rap2b
mouse_strain,C57BL
pvalue,0.9500661
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
