parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
pvalue,0.1585861
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Rab3gap2
analysis_id,932p9f5ev78f969
