analysis_id,24ev31u57x286dc
gene_symbol,Hnf4a
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:109128
pvalue,0.5656378
