analysis_id,9rfv8369o81413j
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,LVIDd
pvalue,0.3133358
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1345282
