parameter_name,DN NKT cells
pvalue,0.3635363
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
gene_symbol,Ola1
analysis_id,305d80xlqm9g0ri
mouse_strain,C57BL
parameter_id,IMPC_IMM_013_001
