gene_symbol,Gpbp1l1
parameter_name,eye size
parameter_id,ESLIM_001_001_117
pvalue,0.3675518
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,l25mt0h9x4w1wqz
gene_accession_id,MGI:1924360
