analysis_id,vm39sa55v08gllo
parameter_id,IMPC_GRS_008_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,Forelimb grip strength measurement mean
pvalue,0.9442957
gene_symbol,AU040320
