analysis_id,52811563o9e37j6
parameter_name,Dark side time spent
gene_symbol,AU040320
pvalue,0.5483242
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,JAX_LDT_004_001
mouse_life_stage,Late adult
