analysis_id,47q7vi19qhfcd3f
parameter_name,Cornea
gene_accession_id,MGI:109128
mouse_strain,C57BL
pvalue,0.2358544
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_007_001
gene_symbol,Hnf4a
