parameter_name,B Cells
gene_accession_id,MGI:1346344
pvalue,0.05355299
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
mouse_strain,B6J
gene_symbol,Nr0b2
analysis_id,xcl5md48w8623lr
