analysis_id,976r323zb5ekarb
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
mouse_strain,C57BL
parameter_name,Center permanence time
gene_accession_id,MGI:88328
pvalue,0.05118864
