analysis_id,r2utl0t7500lj38
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_symbol,Cds2
pvalue,0.5061796
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
