mouse_strain,C3H
pvalue,0.2998861
mouse_life_stage,Early adult
gene_symbol,Mecom
analysis_id,n684710946p89b9
parameter_name,Tibia
gene_accession_id,MGI:95457
parameter_id,IMPC_XRY_025_001
