analysis_id,8764m9h9va1h8b6
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,B1B Cells
pvalue,0.696692
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_IMM_064_001
