analysis_id,jf67i25umo302dd
mouse_strain,C57BL
gene_symbol,Sla2
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_name,Heart weight
pvalue,0.3444017
