gene_symbol,Lamb3
pvalue,0.8808618
gene_accession_id,MGI:99915
analysis_id,802c569m847p8b2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
