analysis_id,rsp1fw43akv1661
gene_symbol,Ufc1
mouse_strain,C57BL
pvalue,0.8793408
mouse_life_stage,Early adult
parameter_name,Cleft palate
gene_accession_id,MGI:1913405
parameter_id,IMPC_GEP_076_001
