gene_symbol,Snap23
analysis_id,4vdz4o60lo75dum
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.8625498
