gene_symbol,Rnf114
analysis_id,l94h2kqyozh6tb9
parameter_name,Neutrophil percentage
gene_accession_id,MGI:1933159
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
pvalue,0.2088539
