parameter_name,Cleft palate
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_GEP_076_001
pvalue,0.2346616
analysis_id,3g2c730fb981nj3
