parameter_name,Narrow eye opening
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
analysis_id,rea17v2ddc29264
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
gene_symbol,Lpgat1
pvalue,0.05388192
