analysis_id,w377a3m3v266moy
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
pvalue,0.6166556
mouse_strain,C57BL
