analysis_id,693h071y185jev4
mouse_strain,C57BL
pvalue,0.9617845
mouse_life_stage,E9.5
gene_symbol,Hspa5
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:95835
parameter_id,IMPC_CSD_051_002
